isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description
9780635034700,0635034700,"The Mystery of the Ancient Pyramid (Cairo, Egypt)",Carole Marsh,Juvenile Fiction,http://books.google.com/books/content?id=2WDcIRrSRCMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Mimi, Papa, Grant and Christina find themselves in Egypt trying to solve a mystery involving a missing mummy, a curse and a mad archaeologist.",2006.0,3.61,128.0,27.0,"The Mystery of the Ancient Pyramid (Cairo, Egypt): Cairo, Egypt","9780635034700 Mimi, Papa, Grant and Christina find themselves in Egypt trying to solve a mystery involving a missing mummy, a curse and a mad archaeologist."
9780670036653,067003665X,The Roald Dahl Treasury,Roald Dahl,Juvenile Fiction,http://books.google.com/books/content?id=NJfZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Presents selections from the author's children's books arranged in such categories as ""Animals,"" ""Magic,"" ""Family, friends and foes,"" and ""Matters of importance""",2003.0,4.43,448.0,2091.0,The Roald Dahl Treasury,"9780670036653 Presents selections from the author's children's books arranged in such categories as ""Animals,"" ""Magic,"" ""Family, friends and foes,"" and ""Matters of importance"""
9780670037865,0670037869,Dust,Martha Grimes,Fiction,http://books.google.com/books/content?id=HT9ir9clPfkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Richard Jury investigates the death of a wealthy bachelor with a mysterious past who was last seen in a club named Dust.,2007.0,3.64,342.0,2532.0,Dust: A Richard Jury Mystery,9780670037865 Richard Jury investigates the death of a wealthy bachelor with a mysterious past who was last seen in a club named Dust.
9780670044368,0670044369,Vinyl Cafe Diaries,Stuart McLean,Canada,http://books.google.com/books/content?id=lNAdAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The further adventures of Dave and Morley.,2003.0,4.19,302.0,883.0,Vinyl Cafe Diaries,9780670044368 The further adventures of Dave and Morley.
9780670261550,0670261556,Death of a Salesman,Arthur Miller,Fiction,,"Reprint of the 1967 ed. published by Viking Press, New York.",1967.0,3.5,139.0,1197.0,Death of a Salesman,"9780670261550 Reprint of the 1967 ed. published by Viking Press, New York."
9780670876129,0670876127,The Adventures of Pippi Longstocking,Astrid Lindgren;Michael Chesworth,Juvenile Fiction,http://books.google.com/books/content?id=n0sHAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A collection of three previously published books: Pippi Longstocking, Pippi goes on board, and Pippi in the South Seas.",1997.0,4.25,290.0,4671.0,The Adventures of Pippi Longstocking,"9780670876129 A collection of three previously published books: Pippi Longstocking, Pippi goes on board, and Pippi in the South Seas."
9780671009441,0671009443,Private Parts,Howard Stern;John D. Simons,Biography & Autobiography,http://books.google.com/books/content?id=LTJFsGNJwyYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"An autobiography by the original ""shock jock"" shares his observations on politics, current affairs, women, and the entertainment business",1997.0,3.76,660.0,3746.0,Private Parts,"9780671009441 An autobiography by the original ""shock jock"" shares his observations on politics, current affairs, women, and the entertainment business"
9780671015206,0671015206,The Millionaire Next Door,Thomas J. Stanley;William D. Danko,Biography & Autobiography,http://books.google.com/books/content?id=ldpaww5kkmoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Reveals that the accumulation of wealth in the United States is most often done through hard work, diligent savings, and living a frugal lifestyle",1998.0,4.02,258.0,56189.0,The Millionaire Next Door,"9780671015206 Reveals that the accumulation of wealth in the United States is most often done through hard work, diligent savings, and living a frugal lifestyle"
9780671026226,0671026224,Clive Cussler and Dirk Pitt Revealed,Clive Cussler;Craig Dirgo,Fiction,http://books.google.com/books/content?id=dxBMJjQA_WsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Includes photographs, summaries of each Dirk Pitt novel, an interview with Cussler, and Dirk Pitt trivia questions",1998.0,3.88,544.0,2001.0,Clive Cussler and Dirk Pitt Revealed,"9780671026226 Includes photographs, summaries of each Dirk Pitt novel, an interview with Cussler, and Dirk Pitt trivia questions"
9780671039721,0671039725,Carrie,Stephen King,Fiction,,Presents the unnerving story of a terribly ostracized young girl with supernatural powers of telekinesis.,2002.0,3.95,253.0,2663.0,Carrie,9780671039721 Presents the unnerving story of a terribly ostracized young girl with supernatural powers of telekinesis.
9780671211486,067121148X,Uncle Shelby'S Abz Book,Shel Silverstein,Education,http://books.google.com/books/content?id=aPEfnSNCURwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Writing for an adult audience, the popular children's book author presents a humorous satire of alphabet books.",1985.0,4.37,80.0,2503.0,Uncle Shelby'S Abz Book,"9780671211486 Writing for an adult audience, the popular children's book author presents a humorous satire of alphabet books."
